title,actor,year
Inferno,Irrfan Khan,2017
Inferno,Omar Sy,2017
Inferno,Ben Foster,2017
Inferno,Sidse Babett Knudsen,2017
Yin Bao Zhe,Zheng Chang,2017
"We Love You, Sally Carmichael",Christopher Gorham,2017
"We Love You, Sally Carmichael",Elizabeth Tulloch,2017
"We Love You, Sally Carmichael",Sebastian Roche,2017
"We Love You, Sally Carmichael",Jack McBrayer,2017
"We Love You, Sally Carmichael",David Nibley,2017
"We Love You, Sally Carmichael",Andie Nibley,2017
Kongens Nei,Erik Poppe,2017
Ma Loute,Fabrice Luchini,2017
MÃ­ng YuÃ¨ JÇ ShÃ­ YÇu,Ann Hui,2017
La Pazza Gioia,Valeria Bruni Tedeschi,2017
La Pazza Gioia,Micaela Ramazzotti,2017
Walking Out,Matt Bomer,2017
Walking Out,Josh Wiggins,2017
Walking Out,Bill Pullman,2017
CÃ³rki dancingu,Marta Mazurek,2017
CÃ³rki dancingu,Michalina Olszanska,2017
CÃ³rki dancingu,Kinga Preis,2017
Tim Timmerman: Hope of America,Eddie Perino,2017
Tim Timmerman: Hope of America,Chelsea Maidhof,2017
I Called Him Morgan,Kasper Collin,2017
Poster Boys,Shreyas Talpade,2017
Special Citizen,Choi Min-sik,2017
Special Citizen,Kwak Do-won,2017
Special Citizen,Shim Eun-Kyung,2017
Aida's Secrets,Alon Schwarz,2017
Aida's Secrets,Shaul Schwarz,2017
Keep Watching,Bella Thorne,2017
Miekkailija,MÃ¤rt Avandi,2017
Miekkailija,Ursula Ratasepp,2017
Miekkailija,Hendrik Toompere,2017
Sully,Tom Hanks,2017
120 battements par minute,Robin Campillo,2017
Dina,Dan Sickles,2017
Dina,Antonio Santini,2017
Because of GrÃ¡cia,Tom Simes,2017
Hostiles,Christian Bale,2017
Hostiles,Wes Studi,2017
Hostiles,Rosamund Pike,2017
Daeripgun,,2017
Chapter & Verse,Jamal Joseph,2017
Earth: One Amazing Day,Richard Dale,2017
Earth: One Amazing Day,Fan Lixin,2017
The Nile Hilton Incident,Fares Fares,2017
Umi ga kikoeru,Nobuo Tobita,2017
Umi ga kikoeru,Toshihiko Seki,2017
Umi ga kikoeru,Yoko Sakamoto,2017
Stefan Zweig: Farewell to Europe,Josef Hader,2017
Pop Aye,Thaneth Warakulnukroh,2017
Te Ata,Q'Orianka Kilcher,2017
Te Ata,Gil Birmingham,2017
Buster's Mal Heart,Rami Malek,2017
Turn it Around: The Story of East Bay Punk,Corbett Redford,2017
My Entire High School Sinking Into the Sea,Jason Schwartzman,2017
My Entire High School Sinking Into the Sea,Lena Dunham,2017
My Entire High School Sinking Into the Sea,Maya Rudolph,2017
My Entire High School Sinking Into the Sea,Reggie Watts,2017
My Entire High School Sinking Into the Sea,Susan Sarandon,2017
The Love Witch,Samantha Robinson,2017
Architects of Denial,,2017
Munna Michael,Sabir Khan,2017
UÄitelka,Zuzana Maurery,2017
Happy End,Isabelle Huppert,2017
Happy End,Jean-Louis Trintignant,2017
Happy End,Mathieu Kassovitz,2017
Happy End,Fantine Harduin,2017
Happy End,Laura Verlinden,2017
Happy End,Toby Jones,2017
The Tiger Hunter,Danny Pudi,2017
Almost Christmas,Kimberly Elise,2017
Almost Christmas,Omar Epps,2017
Almost Christmas,Danny Glover,2017
Almost Christmas,John Michael Higgins,2017
Almost Christmas,Romany Malco,2017
Almost Christmas,MoâNique,2017
Almost Christmas,Nicole Ari Parker,2017
Almost Christmas,J.B. Smoove,2017
Almost Christmas,Gabrielle Union,2017
Almost Christmas,Jessie Usher,2017
Almost Christmas,D.C. Young Fly,2017
Almost Christmas,Nadej Bailey,2017
Almost Christmas,Alkoya Brunson,2017
Almost Christmas,Marley Taylor,2017
Donald Cried,Kristopher Avedisian,2017
Enas Allos Kosmos,J.K. Simmons,2017
Enas Allos Kosmos,Christopher Papakaliatis,2017
Enas Allos Kosmos,Andrea Osvart,2017
Enas Allos Kosmos,Maria Kavogianni,2017
Enas Allos Kosmos,Minas Chatzisavvas,2017
Enas Allos Kosmos,Tawfeek Barhom,2017
Enas Allos Kosmos,Niki Vakali,2017
The Force,Peter Nicks,2017
Il Boom,Alberto Sordi,2017
Bad Santa 2,Billy Bob Thornton,2017
God of War,Vincent Zhao,2017
The Paris Opera,Jean-Stephane Bron,2017
Die gÃ¶ttliche Ordnung,Marie Leuenberger,2017
Die gÃ¶ttliche Ordnung,Rachel Braunschweig,2017
Die gÃ¶ttliche Ordnung,Sibylle Brunner,2017
Die gÃ¶ttliche Ordnung,Marta Zoffoli,2017
Die gÃ¶ttliche Ordnung,Bettina Stucky,2017
Le tout nouveau testament,BenoÃ®t Poelvoorde,2017
Le tout nouveau testament,Pili Groyne,2017
Mei Hao De Yi Wai,,2017
O OrnitÃ³logo,Paul Hamy,2017
Person to Person,Abbi Jacobson,2017
Person to Person,Michael Cera,2017
Person to Person,Tavi Gevinson,2017
Person to Person,Bene Coopersmith,2017
Person to Person,George Sample III,2017
Person to Person,Philip Baker Hall,2017
Hirune-hime: Shiranai watashi no monogatari,Kenji Kamiyama,2017
Window Horses,Ann Marie Fleming,2017
Tanpopo,Juzo Itami,2017
So B. It,Alfre Woodard,2017
So B. It,Jessica Collins,2017
So B. It,Cloris Leachman,2017
So B. It,Talitha Bateman,2017
Film Stars Don't Die in Liverpool,Annette Bening,2017
Film Stars Don't Die in Liverpool,Jamie Bell,2017
Film Stars Don't Die in Liverpool,Julie Walters,2017
La Mort de Louis XIV,Jean-Pierre Leaud,2017
Haebing,Soo-Yeon Lee,2017
Hermia & Helena,Matias Pineiro,2017
Some Like It Hot,Xiao Yang,2017
Shavua ve Yom,Shai Avivi,2017
Shavua ve Yom,Evgenia Dodina,2017
Shavua ve Yom,Tomer Kapon,2017
Panique,Michel Simon,2017
Panique,Viviane Romance,2017
Panique,Paul Bernard,2017
Unrest,Jennifer Brea,2017
Kollektivet,Trine Dyrholm,2017
Kollektivet,Ulrich Thomsen,2017
Kollektivet,Helene Reingaard Neumann,2017
Kollektivet,Martha Sofie WallstrÃ¸m Hansen,2017
Kollektivet,Lars Ranthe,2017
Kollektivet,Fares Fares,2017
Kollektivet,Magnus Millang,2017
Kollektivet,Anne Gry Henningsen,2017
Kollektivet,Julie Agnete Vang,2017
Kollektivet,Sebastian GrÃ¸nnegaard Milbrat,2017
78/52: Hitchcock's Shower Scene,Alexandre O. Philippe,2017
Une Vie,Judith Chemla,2017
In Loco Parentis,Neasa Ni Chianain,2017
In Loco Parentis,David Rane,2017
"A Woman, A Part",Maggie Siff,2017
Growing up Smith,Jason Lee,2017
Growing up Smith,Anjul Nigam,2017
Growing up Smith,Brighton Sharbino,2017
Growing up Smith,Roni Akurati,2017
Growing up Smith,Poorna Jagannathan,2017
Sophie and the Rising Sun,Julianne Nicholson,2017
Sophie and the Rising Sun,Takashi Yamaguchi,2017
Rat Film,Theo Anthony,2017
Powidoki,Boguslaw Linda,2017
Alone in Berlin,Emma Thompson,2017
Alone in Berlin,Brendan Gleeson,2017
7 Witches,Persephone Apostolou,2017
7 Witches,Danika Kari,2017
Le Trou,Jacques Becker,2017
XX,Sofia Carrillo,2017
XX,Mary Harron,2017
XX,Karyn Kusama,2017
XX,Jennifer Chambers Lynch*,2017
XX,St. Vincent*,2017
XX,Jovanka Vuckovic,2017
Finding Dory,Ellen DeGeneres,2016
Rogue One: A Star Wars Story,Felicity Jones,2016
Rogue One: A Star Wars Story,Diego Luna,2016
Rogue One: A Star Wars Story,Ben Mendelsohn,2016
Rogue One: A Star Wars Story,Donnie Yen,2016
Rogue One: A Star Wars Story,Mads Mikkelsen,2016
Rogue One: A Star Wars Story,Alan Tudyk,2016
Rogue One: A Star Wars Story,Riz Ahmed,2016
Captain America: Civil War,Chris Evans,2016
Captain America: Civil War,"Robert Downey, Jr.",2016
Captain America: Civil War,Scarlett Johansson,2016
Captain America: Civil War,Sebastian Stan,2016
Captain America: Civil War,Jeremy Renner,2016
Captain America: Civil War,Don Cheadle,2016
Captain America: Civil War,Anthony Mackie,2016
Captain America: Civil War,Paul Bettany,2016
Captain America: Civil War,Elizabeth Olsen,2016
Captain America: Civil War,Chadwick Boseman,2016
The Secret Life of Pets,Louis C.K.,2016
The Secret Life of Pets,Eric Stonestreet,2016
The Secret Life of Pets,Kevin Hart,2016
The Secret Life of Pets,Jenny Slate,2016
The Secret Life of Pets,Ellie Kemper,2016
The Secret Life of Pets,Albert Brooks,2016
The Secret Life of Pets,Lake Bell,2016
The Secret Life of Pets,Dana Carvey,2016
The Secret Life of Pets,Hannibal Buress,2016
The Secret Life of Pets,Bobby Moynihan,2016
The Jungle Book,Bill Murray,2016
The Jungle Book,Ben Kingsley,2016
The Jungle Book,Idris Elba,2016
The Jungle Book,Lupita Nyong'o,2016
The Jungle Book,Scarlett Johansson,2016
The Jungle Book,Giancarlo Esposito,2016
The Jungle Book,Christopher Walken,2016
The Jungle Book,Neel Sethi,2016
Deadpool,Ryan Reynolds,2016
Zootopia,Ginnifer Goodwin,2016
Zootopia,Jason Bateman,2016
Batman v Superman: Dawn of Justice,Henry Cavill,2016
Batman v Superman: Dawn of Justice,Ben Affleck,2016
Batman v Superman: Dawn of Justice,Amy Adams,2016
Batman v Superman: Dawn of Justice,Gal Gadot,2016
Suicide Squad,Will Smith,2016
Suicide Squad,Jared Leto,2016
Suicide Squad,Margot Robbie,2016
Suicide Squad,Joel Kinnaman,2016
Suicide Squad,Viola Davis,2016
Suicide Squad,Jai Courtney,2016
Suicide Squad,Jay Hernandez,2016
Suicide Squad,Adewale Akinnuoye-Agbaje,2016
Suicide Squad,Ike Barinholtz,2016
Suicide Squad,Scott Eastwood,2016
Suicide Squad,Cara Delevingne,2016
Suicide Squad,Karen Fukuhara,2016
Suicide Squad,Adam Beach,2016
Doctor Strange,Benedict Cumberbatch,2016
Doctor Strange,Chiwetel Ejiofor,2016
Doctor Strange,Rachel McAdams,2016
Doctor Strange,Benedict Wong,2016
Doctor Strange,Mads Mikkelsen,2016
Doctor Strange,Tilda Swinton,2016
Fantastic Beasts and Where to Find Them,Eddie Redmayne,2016
Fantastic Beasts and Where to Find Them,Ezra Miller,2016
Fantastic Beasts and Where to Find Them,Ron Perlman,2016
Fantastic Beasts and Where to Find Them,Colin Farrell,2016
Fantastic Beasts and Where to Find Them,Dan Fogler,2016
Fantastic Beasts and Where to Find Them,Samantha Morton,2016
Fantastic Beasts and Where to Find Them,Alison Sudol,2016
Fantastic Beasts and Where to Find Them,Carmen Ejogo,2016
Fantastic Beasts and Where to Find Them,Katherine Waterston,2016
Moana,Auli'i Cravalho,2016
Moana,Dwayne Johnson,2016
Star Wars Ep. VII: The Force Awakens,Adam Driver,2016
Star Wars Ep. VII: The Force Awakens,Daisy Ridley,2016
Star Wars Ep. VII: The Force Awakens,John Boyega,2016
The Revenant,Leonardo DiCaprio,2016
The Revenant,Tom Hardy,2016
Sing,Matthew McConaughey,2016
Sing,Reese Witherspoon,2016
Sing,Seth MacFarlane,2016
Sing,Tori Kelly,2016
Sing,John C. Reilly,2016
Sing,Taron Egerton,2016
Sing,Scarlett Johansson,2016
Jason Bourne,Matt Damon,2016
Jason Bourne,Alicia Vikander,2016
Star Trek Beyond,John Cho,2016
Star Trek Beyond,Simon Pegg,2016
Star Trek Beyond,Chris Pine,2016
Star Trek Beyond,Zachary Quinto,2016
Star Trek Beyond,Zoe Saldana,2016
Star Trek Beyond,Karl Urban,2016
Star Trek Beyond,Anton Yelchin,2016
Star Trek Beyond,Idris Elba,2016
Star Trek Beyond,Sofia Boutella,2016
X-Men: Apocalypse,James McAvoy,2016
X-Men: Apocalypse,Michael Fassbender,2016
X-Men: Apocalypse,Jennifer Lawrence,2016
Trolls,Anna Kendrick,2016
Trolls,Justin Timberlake,2016
Trolls,Gwen Stefani,2016
Trolls,James Corden,2016
Trolls,Russell Brand,2016
Kung Fu Panda 3,Jack Black,2016
Ghostbusters,Melissa McCarthy,2016
Ghostbusters,Kristen Wiig,2016
Ghostbusters,Leslie Jones,2016
Ghostbusters,Kate McKinnon,2016
Ghostbusters,Chris Hemsworth,2016
Central Intelligence,Dwayne Johnson,2016
Central Intelligence,Kevin Hart,2016
The Legend of Tarzan,Alexander SkarsgÃ¥rd,2016
The Legend of Tarzan,Margot Robbie,2016
Sully,Tom Hanks,2016
Bad Moms,Mila Kunis,2016
Bad Moms,Kristen Bell,2016
Bad Moms,Kathryn Hahn,2016
Bad Moms,Annie Mumolo,2016
Bad Moms,Jada Pinkett Smith,2016
Bad Moms,Christina Applegate,2016
The Angry Birds Movie,Jason Sudeikis,2016
The Angry Birds Movie,Josh Gad,2016
The Angry Birds Movie,Danny McBride,2016
Independence Day: Resurgence,Liam Hemsworth,2016
Independence Day: Resurgence,Jeff Goldblum,2016
Independence Day: Resurgence,Bill Pullman,2016
The Conjuring 2: The Enfield Poltergeist,Vera Farmiga,2016
The Conjuring 2: The Enfield Poltergeist,Patrick Wilson,2016
The Conjuring 2: The Enfield Poltergeist,Frances O'Connor,2016
The Conjuring 2: The Enfield Poltergeist,Madison Wolfe,2016
Sausage Party,Seth Rogen,2016
Sausage Party,Kristen Wiig,2016
The Magnificent Seven,Denzel Washington,2016
The Magnificent Seven,Chris Pratt,2016
The Magnificent Seven,Ethan Hawke,2016
The Magnificent Seven,Vincent D'Onofrio,2016
The Magnificent Seven,Byung-hun Lee,2016
The Magnificent Seven,Manuel Garcia Rulfo,2016
The Magnificent Seven,Martin Sensmeier,2016
Arrival,Amy Adams,2016
Arrival,Jeremy Renner,2016
Arrival,Forest Whitaker,2016
Ride Along 2,Ice Cube,2016
Ride Along 2,Kevin Hart,2016
Don't Breathe,Jane Levy,2016
Don't Breathe,Dylan Minnette,2016
Don't Breathe,Daniel Zovatto,2016
Don't Breathe,Stephen Lang,2016
Miss Peregrine's Home for Peculiar Children,Eva Green,2016
Miss Peregrine's Home for Peculiar Children,Asa Butterfield,2016
Miss Peregrine's Home for Peculiar Children,Chris O'Dowd,2016
Miss Peregrine's Home for Peculiar Children,Allison Janney,2016
Miss Peregrine's Home for Peculiar Children,Rupert Everett,2016
Miss Peregrine's Home for Peculiar Children,Terence Stamp,2016
Miss Peregrine's Home for Peculiar Children,Ella Purnell,2016
Miss Peregrine's Home for Peculiar Children,Judi Dench,2016
Miss Peregrine's Home for Peculiar Children,Samuel L. Jackson,2016
The Accountant,Ben Affleck,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,Megan Fox,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,Will Arnett,2016
The Purge: Election Year,Frank Grillo,2016
The Purge: Election Year,Elizabeth Mitchell,2016
The Purge: Election Year,Mykelti Williamson,2016
Alice Through the Looking Glass,Johnny Depp,2016
Alice Through the Looking Glass,Anne Hathaway,2016
Alice Through the Looking Glass,Mia Wasikowska,2016
Alice Through the Looking Glass,Helena Bonham Carter,2016
Alice Through the Looking Glass,Sacha Baron Cohen,2016
Pete's Dragon,Oakes Fegley,2016
The Girl on the Train,Emily Blunt,2016
Tyler Perry's Boo! A Madea Halloween,Tyler Perry,2016
Storks,Andy Samberg,2016
Storks,Kelsey Grammer,2016
Storks,Katie Crown,2016
Storks,Keegan-Michael Key,2016
Storks,Jordan Peele,2016
Storks,Jennifer Aniston,2016
Storks,Ty Burrell,2016
Storks,Danny Trejo,2016
Storks,Anton Starkman,2016
Storks,Stephen Kramer Glickman,2016
10 Cloverfield Lane,John Goodman,2016
10 Cloverfield Lane,Mary Elizabeth Winstead,2016
10 Cloverfield Lane,"John Gallagher, Jr.",2016
Lights Out,Teresa Palmer,2016
Lights Out,Gabriel Bateman,2016
Lights Out,Billy Burke,2016
Lights Out,Maria Bello,2016
The Divergent Series: Allegiant,Shailene Woodley,2016
The Divergent Series: Allegiant,Theo James,2016
Now You See Me 2,Jesse Eisenberg,2016
Now You See Me 2,Mark Ruffalo,2016
Now You See Me 2,Woody Harrelson,2016
Now You See Me 2,Dave Franco,2016
Now You See Me 2,Daniel Radcliffe,2016
Now You See Me 2,Lizzy Caplan,2016
Now You See Me 2,Jay Chou,2016
Now You See Me 2,Michael Caine,2016
Now You See Me 2,Morgan Freeman,2016
Hacksaw Ridge,Andrew Garfield,2016
Ice Age: Collision Course,Ray Romano,2016
Ice Age: Collision Course,John Leguizamo,2016
Ice Age: Collision Course,Denis Leary,2016
Ice Age: Collision Course,Queen Latifah,2016
Ice Age: Collision Course,Jessie J*,2016
Ice Age: Collision Course,Jesse Tyler Ferguson,2016
Ice Age: Collision Course,Josh Peck,2016
Ice Age: Collision Course,Simon Pegg,2016
Ice Age: Collision Course,Seann William Scott,2016
The Boss,Melissa McCarthy,2016
London Has Fallen,Gerard Butler,2016
London Has Fallen,Aaron Eckhart,2016
London Has Fallen,Morgan Freeman,2016
Miracles from Heaven,Jennifer Garner,2016
Miracles from Heaven,Kylie Rogers,2016
Miracles from Heaven,Eugenio Derbez,2016
Deepwater Horizon,Mark Wahlberg,2016
Deepwater Horizon,Kurt Russell,2016
Deepwater Horizon,John Malkovich,2016
Deepwater Horizon,Gina Rodriguez,2016
Deepwater Horizon,Dylan OâBrien,2016
My Big Fat Greek Wedding 2,Nia Vardalos,2016
My Big Fat Greek Wedding 2,John Corbett,2016
My Big Fat Greek Wedding 2,Lainie Kazan,2016
My Big Fat Greek Wedding 2,Gia Carides,2016
My Big Fat Greek Wedding 2,Joey Fatone,2016
My Big Fat Greek Wedding 2,Louis Mandylor,2016
My Big Fat Greek Wedding 2,Andrea Martin,2016
My Big Fat Greek Wedding 2,Michael Constantine,2016
My Big Fat Greek Wedding 2,Elena Kampouris,2016
My Big Fat Greek Wedding 2,Bess Meisler,2016
My Big Fat Greek Wedding 2,Bruce Gray,2016
Jack Reacher: Never Go Back,Tom Cruise,2016
Jack Reacher: Never Go Back,Cobie Smulders,2016
Daddy's Home,Will Ferrell,2016
Daddy's Home,Mark Wahlberg,2016
Daddy's Home,Linda Cardellini,2016
Me Before You,Emilia Clarke,2016
Me Before You,Sam Claflin,2016
The BFG,Mark Rylance,2016
The BFG,Ruby Barnhill,2016
Passengers,Jennifer Lawrence,2016
Passengers,Chris Pratt,2016
Neighbors 2: Sorority Rising,Seth Rogen,2016
Neighbors 2: Sorority Rising,Zac Efron,2016
Neighbors 2: Sorority Rising,Rose Byrne,2016
Neighbors 2: Sorority Rising,ChloÃ« Grace Moretz,2016
The Shallows,Blake Lively,2016
Barbershop: The Next Cut,Ice Cube,2016
Barbershop: The Next Cut,Cedric the Entertainer,2016
Barbershop: The Next Cut,Regina Hall,2016
Barbershop: The Next Cut,Anthony Anderson,2016
Barbershop: The Next Cut,Eve,2016
Barbershop: The Next Cut,J.B. Smoove,2016
Barbershop: The Next Cut,Lamorne Morris,2016
Barbershop: The Next Cut,Deon Cole,2016
Barbershop: The Next Cut,Common,2016
Barbershop: The Next Cut,Nicki Minaj,2016
13 Hours: The Secret Soldiers of Benghazi,John Krasinski,2016
13 Hours: The Secret Soldiers of Benghazi,James Badge Dale,2016
13 Hours: The Secret Soldiers of Benghazi,Max Martini,2016
Office Christmas Party,Jason Bateman,2016
Office Christmas Party,Olivia Munn,2016
Office Christmas Party,T.J. Miller,2016
Office Christmas Party,Jillian Bell,2016
Office Christmas Party,Vanessa Bayer,2016
Office Christmas Party,Courtney B. Vance,2016
Office Christmas Party,Rob Corddry,2016
Office Christmas Party,Abbey Lee,2016
Office Christmas Party,Sam Richardson,2016
Office Christmas Party,Jamie Chung,2016
Office Christmas Party,Randall Park,2016
Office Christmas Party,Da'Vine Randolph,2016
Office Christmas Party,Karan Soni,2016
Office Christmas Party,Kate McKinnon,2016
Office Christmas Party,Jennifer Aniston,2016
Kubo and the Two Strings,Art Parkinson,2016
Kubo and the Two Strings,Charlize Theron,2016
Kubo and the Two Strings,Matthew McConaughey,2016
The Huntsman: Winter's War,Chris Hemsworth,2016
The Huntsman: Winter's War,Charlize Theron,2016
The Huntsman: Winter's War,Emily Blunt,2016
The Huntsman: Winter's War,Jessica Chastain,2016
Warcraft,Travis Fimmel,2016
Warcraft,Paula Patton,2016
Warcraft,Ben Foster,2016
Warcraft,Dominic Cooper,2016
Warcraft,Toby Kebbell,2016
How to be Single,Dakota Johnson,2016
How to be Single,Rebel Wilson,2016
How to be Single,Alison Brie,2016
How to be Single,Leslie Mann,2016
Mike and Dave Need Wedding Dates,Zac Efron,2016
Mike and Dave Need Wedding Dates,Anna Kendrick,2016
Mike and Dave Need Wedding Dates,Adam DeVine,2016
Mike and Dave Need Wedding Dates,Aubrey Plaza,2016
War Dogs,Jonah Hill,2016
War Dogs,Miles Teller,2016
Almost Christmas,Kimberly Elise,2016
Almost Christmas,Omar Epps,2016
Almost Christmas,Danny Glover,2016
Almost Christmas,John Michael Higgins,2016
Almost Christmas,Romany Malco,2016
Almost Christmas,MoâNique,2016
Almost Christmas,Nicole Ari Parker,2016
Almost Christmas,J.B. Smoove,2016
Almost Christmas,Gabrielle Union,2016
Almost Christmas,Jessie Usher,2016
Almost Christmas,D.C. Young Fly,2016
Almost Christmas,Nadej Bailey,2016
Almost Christmas,Alkoya Brunson,2016
Almost Christmas,Marley Taylor,2016
Money Monster,George Clooney,2016
Money Monster,Julia Roberts,2016
Money Monster,Jack O'Connell,2016
Allied,Brad Pitt,2016
Allied,Marion Cotillard,2016
Nerve,Emma Roberts,2016
Nerve,Dave Franco,2016
Sisters,Amy Poehler,2016
Sisters,Tina Fey,2016
The Big Short,Christian Bale,2016
The Big Short,Steve Carell,2016
The Big Short,Ryan Gosling,2016
The Big Short,Brad Pitt,2016
Risen,Joseph Fiennes,2016
Assassin's Creed,Michael Fassbender,2016
The Nice Guys,Russell Crowe,2016
The Nice Guys,Ryan Gosling,2016
The Nice Guys,Angourie Rice,2016
The Nice Guys,Kim Basinger,2016
The Nice Guys,Keith David,2016
The Nice Guys,Margaret Qualley,2016
The Nice Guys,Matt Bomer,2016
The Nice Guys,Beau Knapp,2016
The Nice Guys,Yaya DaCosta,2016
The Boy,Lauren Cohan,2016
Dirty Grandpa,Robert De Niro,2016
Dirty Grandpa,Zac Efron,2016
Ouija: Origin of Evil,Annalise Basso,2016
The 5th Wave,ChloÃ« Grace Moretz,2016
La La Land,Ryan Gosling,2016
La La Land,Emma Stone,2016
Inferno,Tom Hanks,2016
Inferno,Felicity Jones,2016
Inferno,Irrfan Khan,2016
Inferno,Omar Sy,2016
Inferno,Ben Foster,2016
Inferno,Sidse Babett Knudsen,2016
Mother's Day,Jennifer Aniston,2016
Mother's Day,Kate Hudson,2016
Mother's Day,Julia Roberts,2016
Mother's Day,Jason Sudeikis,2016
Gods of Egypt,Nikolaj Coster-Waldau,2016
Gods of Egypt,Brenton Thwaites,2016
Gods of Egypt,Chadwick Boseman,2016
Gods of Egypt,Elodie Yung,2016
Gods of Egypt,Courtney Eaton,2016
Gods of Egypt,Rufus Sewell,2016
Gods of Egypt,Gerard Butler,2016
Gods of Egypt,Geoffrey Rush,2016
Gods of Egypt,Abbey Lee,2016
Gods of Egypt,Yaya Deng,2016
Why Him?,Bryan Cranston,2016
Why Him?,James Franco,2016
Why Him?,Zoey Deutch,2016
Alvin and the Chipmunks: The Road Chip,Jason Lee,2016
Alvin and the Chipmunks: The Road Chip,Justin Long,2016
Alvin and the Chipmunks: The Road Chip,Matthew Gray Gubler,2016
Alvin and the Chipmunks: The Road Chip,Jesse McCartney,2016
"Hail, Caesar!",George Clooney,2016
"Hail, Caesar!",Scarlett Johansson,2016
"Hail, Caesar!",Channing Tatum,2016
"Hail, Caesar!",Josh Brolin,2016
"Hail, Caesar!",Ralph Fiennes,2016
"Hail, Caesar!",Tilda Swinton,2016
"Hail, Caesar!",Jonah Hill,2016
When the Bough Breaks,Morris Chestnut,2016
When the Bough Breaks,Regina Hall,2016
When the Bough Breaks,Jaz Sinclair,2016
Fences,Denzel Washington,2016
Fences,Viola Davis,2016
Zoolander 2,Ben Stiller,2016
Zoolander 2,Owen Wilson,2016
Zoolander 2,Will Ferrell,2016
Zoolander 2,PenÃ©lope Cruz,2016
Zoolander 2,Kristen Wiig,2016
Manchester by the Sea,Casey Affleck,2016
Manchester by the Sea,Michelle Williams,2016
Joy,Jennifer Lawrence,2016
Joy,Robert De Niro,2016
Joy,Bradley Cooper,2016
The Finest Hours,Chris Pine,2016
Florence Foster Jenkins,Meryl Streep,2016
Florence Foster Jenkins,Hugh Grant,2016
Florence Foster Jenkins,Simon Helberg,2016
Hell or High Water,Jeff Bridges,2016
Hell or High Water,Chris Pine,2016
Hell or High Water,Ben Foster,2016
The Forest,Natalie Dormer,2016
Ben-Hur,Jack Huston,2016
Ben-Hur,Toby Kebbell,2016
Ben-Hur,Rodrigo Santoro,2016
Ben-Hur,Nazanin Boniadi,2016
Ben-Hur,Ayelet Zurer,2016
Ben-Hur,Morgan Freeman,2016
The Witch,Anya Taylor-Joy,2016
The Hateful Eight,Samuel L. Jackson,2016
The Hateful Eight,Kurt Russell,2016
The Hateful Eight,Jennifer Jason Leigh,2016
The Hateful Eight,Walton Goggins,2016
The Hateful Eight,DemiÃ¡n Bichir,2016
The Hateful Eight,Tim Roth,2016
The Hateful Eight,Michael Madsen,2016
The Hateful Eight,Bruce Dern,2016
Collateral Beauty,Will Smith,2016
Collateral Beauty,Edward Norton,2016
Collateral Beauty,Keira Knightley,2016
Collateral Beauty,Michael PeÃ±a,2016
Collateral Beauty,Naomie Harris,2016
Collateral Beauty,Jacob Latimore,2016
Collateral Beauty,Kate Winslet,2016
Collateral Beauty,Helen Mirren,2016
Bridget Jones's Baby,RenÃ©e Zellweger,2016
Bridget Jones's Baby,Colin Firth,2016
Bridget Jones's Baby,Patrick Dempsey,2016
Kevin Hart: What Now?,Kevin Hart,2016
Whiskey Tango Foxtrot,Tina Fey,2016
Whiskey Tango Foxtrot,Margot Robbie,2016
Whiskey Tango Foxtrot,Martin Freeman,2016
Snowden,Joseph Gordon-Levitt,2016
Snowden,Shailene Woodley,2016
Mechanic: Resurrection,Jason Statham,2016
Mechanic: Resurrection,Tommy Lee Jones,2016
Mechanic: Resurrection,Jessica Alba,2016
Mechanic: Resurrection,Michelle Yeoh,2016
Free State of Jones,Matthew McConaughey,2016
Blair Witch,James Allen McCune,2016
God's Not Dead 2,Melissa Joan Hart,2016
Keanu,Jordan Peele,2016
Keanu,Keegan-Michael Key,2016
Middle School: The Worst Years of My Life,Griffin Gluck,2016
Middle School: The Worst Years of My Life,Lauren Graham,2016
Middle School: The Worst Years of My Life,Rob Riggle,2016
Middle School: The Worst Years of My Life,Thomas Barbusca,2016
Middle School: The Worst Years of My Life,Andrew Daly,2016
Middle School: The Worst Years of My Life,Isabela Moner,2016
Middle School: The Worst Years of My Life,Alexa Nisenson,2016
Nine Lives,Kevin Spacey,2016
Nine Lives,Jennifer Garner,2016
Nine Lives,Christopher Walken,2016
Nine Lives,Robbie Amell,2016
Nine Lives,Cheryl Hines,2016
Nine Lives,Malina Weissman,2016
Race,Stephan James,2016
Brooklyn,Saoirse Ronan,2016
Brooklyn,Domhnall Gleeson,2016
Brooklyn,Emory Cohen,2016
The Choice,Benjamin Walker,2016
The Choice,Teresa Palmer,2016
Eye in the Sky,Helen Mirren,2016
Eye in the Sky,Aaron Paul,2016
Eye in the Sky,Alan Rickman,2016
Eye in the Sky,Barkhad Abdi,2016
Spotlight,Mark Ruffalo,2016
Spotlight,Michael Keaton,2016
Spotlight,Rachel McAdams,2016
Spotlight,Liev Schreiber,2016
Spotlight,Stanley Tucci,2016
Bad Santa 2,Billy Bob Thornton,2016
Masterminds,Zach Galifianakis,2016
Masterminds,Owen Wilson,2016
Masterminds,Kristen Wiig,2016
Masterminds,Jason Sudeikis,2016
Concussion,Will Smith,2016
Norm of the North,Rob Schneider,2016
The Birth of a Nation,Nate Parker,2016
